Final Report
Total parcels processed: 205
Busiest destination: bursa
Longest delayed parcel: P27-0784 Delay: -1 ticks
Remaining in Queue: 0
Remaining in ReturnStack: 0
Remaining in BST: 72

Parcel Tracker's Records
ParcelID: P78-1100, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P26-0680, Status: Dispatched, Return Count: 0, Dispatch Tick: 69
ParcelID: P18-0216, Status: Sorted, Return Count: 1, Dispatch Tick: -1
ParcelID: P85-051, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P75-1718, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P4-0537, Status: Dispatched, Return Count: 0, Dispatch Tick: 18
ParcelID: P87-2517, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P70-0508, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P49-0748, Status: Dispatched, Return Count: 0, Dispatch Tick: 96
ParcelID: P45-0634, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P37-1111, Status: Dispatched, Return Count: 0, Dispatch Tick: 80
ParcelID: P16-1107, Status: Dispatched, Return Count: 0, Dispatch Tick: 34
ParcelID: P11-033, Status: Dispatched, Return Count: 0, Dispatch Tick: 27
ParcelID: P100-0981, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P60-1473, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P18-1474, Status: Dispatched, Return Count: 0, Dispatch Tick: 67
ParcelID: P12-040, Status: Dispatched, Return Count: 1, Dispatch Tick: 36
ParcelID: P11-2911, Status: Dispatched, Return Count: 0, Dispatch Tick: 28
ParcelID: P7-0937, Status: Dispatched, Return Count: 0, Dispatch Tick: 20
ParcelID: P13-038, Status: Dispatched, Return Count: 0, Dispatch Tick: 44
ParcelID: P72-0843, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P48-0538, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P33-00, Status: Dispatched, Return Count: 0, Dispatch Tick: 85
ParcelID: P30-2553, Status: Dispatched, Return Count: 0, Dispatch Tick: 55
ParcelID: P97-1907, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P25-1830, Status: Dispatched, Return Count: 0, Dispatch Tick: 59
ParcelID: P83-1725, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P80-2826, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P76-1237, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P61-2232, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P52-1756, Status: Sorted, Return Count: 0, Dispatch Tick: -1
